entity,code,emissions_total,emissions_total_per_capita
Aruba,ABW,0.58871640278437,5.451077803559
Afghanistan,AFG,33.034840089668,0.79563680370105
Angola,AGO,69.922938779033,1.8767731910522
Anguilla,AIA,0.026035166405695,1.627197900356
Albania,ALB,7.1243105671217,2.4174789844322
Curaçao,ANT,2.4926653897091,14.926140058139
United Arab Emirates,ARE,264.1483737417,25.618114027903
Argentina,ARG,374.34460684858,7.9485435461309
Armenia,ARM,10.780575284995,3.6693585040827
Antigua and Barbuda,ATG,0.42685099843391,3.8804636221264
Australia,AUS,591.45396067192,22.257703709477
Austria,AUT,70.999903509698,8.0135331275054
Azerbaijan,AZE,58.279785322645,5.613000608942
Burundi,BDI,8.4217240098523,0.62717634866341
Belgium,BEL,107.82402021199,9.1500356595377
Benin,BEN,17.767052694653,1.3197929501302
Burkina Faso,BFA,34.917746360625,1.4954707422427
Bangladesh,BGD,220.82672080545,1.2502149724876
Bulgaria,BGR,46.676574364022,6.9201741088247
Bahrain,BHR,64.422177089661,35.126596013992
Bahamas,BHS,1.8438726177365,4.3797449352411
Bosnia and Herzegovina,BIH,27.626664266922,7.9730632804971
Belarus,BLR,87.491361226524,9.3713968751632
Belize,BLZ,1.0346841172425,2.4118510891434
Bermuda,BMU,0.30567723229762,5.0946205382937
Bolivia,BOL,63.757197635886,5.226856667969
Brazil,BRA,1299.1802084395,5.927403748663
Barbados,BRB,0.91205446117052,3.1558977895174
Brunei,BRN,11.865488060786,25.572172544798
Bhutan,BTN,2.8063179135888,3.2293646876741
Botswana,BWA,12.097729590747,4.6963235988925
Central African Republic,CAF,13.444289575371,2.5049915363092
Canada,CAN,768.05892108106,19.760700861404
Switzerland and Liechtenstein,CHE,42.992440730259,4.830068613668
Chile,CHL,118.1208787777,6.2231114681894
China,CHN,15536.12168298,10.811534962181
Côte d’Ivoire,CIV,38.0266971213,1.3167138892417
Cameroon,CMR,40.621855916018,1.4182618502904
Democratic Republic of the Congo,COD,58.4916909867,0.57820967760676
Congo,COG,24.623026459752,3.9121427486101
Cook Islands,COK,0.11208129613633,6.5930174197842
Colombia,COL,217.58573010569,4.2203764858735
Comoros,COM,0.94938908784032,1.0035825452858
Cabo Verde,CPV,0.91256444810314,1.5337217615179
Costa Rica,CRI,17.076872282267,3.2783398506944
Cuba,CUB,35.985717152786,3.1262025152277
Cayman Islands,CYM,0.40593654355496,6.0587543814174
Cyprus,CYP,9.3431805128348,7.5348229942216
Czechia,CZE,100.3792060908,9.4501229609109
Germany,DEU,674.35832625518,8.1734458858165
Djibouti,DJI,2.4173445719381,2.2913218691356
Dominica,DMA,0.15235689674337,2.0046960097812
Denmark,DNK,38.264629313957,6.4965414794495
Dominican Republic,DOM,51.580798483369,4.4728406593279
Algeria,DZA,252.69999712007,5.5231350320214
Ecuador,ECU,74.408550594854,4.0760641246154
Egypt,EGY,386.59822846755,3.5209310425096
Eritrea,ERI,6.5792579891564,1.1094870133485
Western Sahara,ESH,0.7354140234676,1.1244862744153
Spain and Andorra,ESP,285.63832224712,6.1631709801735
Estonia,EST,14.129201839084,10.995487812516
Ethiopia,ETH,192.70400670949,1.5612665417044
Finland,FIN,48.678995972021,8.6111791919372
Fiji,FJI,2.7508988098211,2.907926860276
Falkland Islands,FLK,0.17289495721293,57.63165240431
France and Monaco,FRA,378.12019029289,5.675349948111
Faroes,FRO,0.096616747976757,1.8944460387599
Gabon,GAB,21.781991821997,9.3605465500633
United Kingdom,GBR,386.69571660351,5.625074065074
Georgia,GEO,19.602824699722,5.098263901098
Ghana,GHA,48.093948904038,1.4435691230651
Gibraltar,GIB,0.65890452694286,18.825843626939
Guinea,GIN,29.37591393664,1.9293257544095
Guadeloupe,GLP,1.4489095538072,3.2414083977789
The Gambia,GMB,1.8595051534366,0.7246707534827
Guinea-Bissau,GNB,3.1886332502392,1.454005130068
Equatorial Guinea,GNQ,8.1387019428792,5.1154631947701
Greece,GRC,71.500075445737,6.5136262590632
Grenada,GRD,0.24099091876012,2.1710893581993
Greenland,GRL,0.6592546312159,11.565870723086
Guatemala,GTM,43.47216808936,2.2593507660392
French Guiana,GUF,0.58626018667196,1.760541101117
Guyana,GUY,8.7308618260253,10.832334771743
Hong Kong,HKG,40.307052043688,5.2170660165271
Honduras,HND,24.387070793249,2.3651508867471
Croatia,HRV,26.841829070678,6.6704346597112
Haiti,HTI,13.782308697238,1.1613978846582
Hungary,HUN,60.452896861118,6.3782334734246
Indonesia,IDN,1323.7779107977,4.6879806457244
India,IND,4371.1693272556,3.0384144187064
Ireland,IRL,59.677828151727,11.862021099528
Iran,IRN,1054.7650714871,12.237673413239
Iraq,IRQ,413.27642108277,8.9784145357978
Iceland,ISL,4.282410664188,12.131474969371
"Israel and Palestine, State of",ISR,76.620732865356,5.073258144422
"Italy, San Marino and the Holy See",ITA,371.17171099618,6.3202906839474
Jamaica,JAM,9.4247004126026,3.2155238528156
Jordan,JOR,34.855734918746,3.3076233553564
Japan,JPN,1063.3358491923,8.520592400336
Kazakhstan,KAZ,330.39334589704,16.980693112866
Kenya,KEN,102.83615180704,1.7512372161547
Kyrgyzstan,KGZ,22.368960993932,3.3866708544939
Cambodia,KHM,49.834754915236,2.8316810566075
Kiribati,KIR,0.11518831348837,0.88606394991057
Saint Kitts and Nevis,KNA,0.18549174311608,3.1981335020013
South Korea,KOR,668.2452710079,12.827928339852
Kuwait,KWT,173.33069669357,38.136566929278
Laos,LAO,41.549637581744,5.5098312666416
Lebanon,LBN,18.786314625993,3.3010568662789
Liberia,LBR,4.4599085437756,0.7918871704147
Libya,LBY,98.170876116766,14.096909264326
Saint Lucia,LCA,0.46852097267718,2.5602238944108
Sri Lanka,LKA,37.166534563567,1.7443344705293
Lesotho,LSO,3.0549651667286,1.2530620044006
Lithuania,LTU,21.535707113595,7.6885780484096
Luxembourg,LUX,8.0536674199614,12.702945457352
Latvia,LVA,11.642388850407,6.372407690425
Macao,MAC,1.8200948273386,2.6301948371946
Morocco,MAR,108.73642374068,2.8086380922299
Moldova,MDA,11.658324509614,2.943278088769
Madagascar,MDG,35.789966511419,1.1653035037743
Maldives,MDV,2.093372989544,4.3251508048429
Mexico,MEX,686.77936947935,4.9145535370345
North Macedonia,MKD,9.8120963348751,4.6970303182744
Mali,MLI,48.008509546061,2.1050824145427
Malta,MLT,2.2436192275264,5.1224183276859
Myanmar/Burma,MMR,117.78753637361,2.0816403289553
Mongolia,MNG,104.35496596142,30.993455883998
Mozambique,MOZ,33.625590000769,0.93109569698093
Mauritania,MRT,17.508620664645,3.3110099592748
Martinique,MTQ,1.2018075056671,3.1215779367976
Mauritius,MUS,6.4715957970748,5.0480466435841
Malawi,MWI,19.023564522485,0.83978124409504
Malaysia,MYS,332.16682806372,9.6154820687137
Namibia,NAM,14.212131813916,4.8738449293263
New Caledonia,NCL,5.381612167984,17.879110192638
Niger,NER,41.146146953493,1.4691379638481
Nigeria,NGA,350.55535432209,1.537773034756
Nicaragua,NIC,19.158621094605,2.8727876884998
Netherlands,NLD,145.00667452457,8.3481102201822
Norway,NOR,53.759636410718,9.5048862112302
Nepal,NPL,41.468234697375,1.3158670653479
New Zealand,NZL,77.837353277562,15.58617406439
Oman,OMN,132.26466164521,24.02191457414
Pakistan,PAK,525.88247143799,2.35654769911
Panama,PAN,19.217954518897,4.2367624600743
Peru,PER,103.81302462112,2.9850199730035
Philippines,PHL,266.59728422387,2.2965498356724
Palau,PLW,1.5338110380463,66.687436436794
Papua New Guinea,PNG,10.761087900867,1.1398250080359
Poland,POL,348.19504097853,9.2842107769447
Puerto Rico,PRI,17.616493919667,4.8543659188941
North Korea,PRK,91.251815189815,3.4753328708465
Portugal,PRT,53.169594055909,5.2742380771658
Paraguay,PRY,41.442035300931,5.6040615687533
French Polynesia,PYF,1.0810034887819,3.6520388134525
Qatar,QAT,162.74468869021,54.539104788944
Réunion,REU,3.0343888984009,3.2910942498925
Romania,ROU,101.85758975999,5.3558518119671
Russia,RUS,2575.6547638945,18.021149449319
Rwanda,RWA,8.3498807486411,0.58587431579014
Saudi Arabia,SAU,838.87655111445,22.789984816606
Serbia and Montenegro,SCG,66.753674928177,7.251892985136
Sudan and South Sudan,SDN,138.70195171916,2.1797858232491
Senegal,SEN,31.720612000848,1.661722038915
Singapore,SGP,76.092758336065,12.435489187133
"Saint Helena, Ascension and Tristan da Cunha",SHN,0.021008263917755,5.2520659794388
Solomon Islands,SLB,0.61975198600172,0.89044825574959
Sierra Leone,SLE,7.9284830540788,0.91058723487755
El Salvador,SLV,14.751634624787,2.2317147692568
Somalia,SOM,34.416872869166,1.8986524449256
Saint Pierre and Miquelon,SPM,0.035007766695614,5.0011095279449
São Tomé and Príncipe,STP,0.24546513171181,1.0313660996295
Suriname,SUR,3.6665753428261,6.1623115005481
Slovakia,SVK,39.000776046537,7.1639926610098
Slovenia,SVN,17.336899254101,8.3430699009148
Sweden,SWE,52.565801794433,5.0660950071736
Eswatini,SWZ,2.9297572535237,1.9123741863732
Seychelles,SYC,0.97643740361626,9.9636469756762
Syria,SYR,47.16557606493,2.0973664205323
Turks and Caicos Islands,TCA,0.23784845807724,6.0986784122369
Chad,TCD,101.17379719021,5.5404302716288
Togo,TGO,10.84426498811,1.1787244552294
Thailand,THA,422.38728704425,6.0635556566788
Tajikistan,TJK,22.1889706355,2.1779515739596
Turkmenistan,TKM,114.81218331098,18.060749301711
Timor-Leste,TLS,1.9401197768467,1.2899732558821
Tonga,TON,0.29290421642737,2.546993186325
Trinidad and Tobago,TTO,33.586578143246,24.320476570055
Tunisia,TUN,44.621000753775,3.6174301381253
Türkiye,TUR,579.5068163266,6.7579393638236
Taiwan,TWN,309.61165394265,12.895649712302
Tanzania,TZA,102.52500651273,1.4519282074509
Uganda,UGA,57.298152268275,1.0722561571248
Ukraine,UKR,196.96400554191,4.6140368614578
Uruguay,URY,44.627145531682,12.610100461057
United States,USA,5912.6177240236,17.344395558819
Uzbekistan,UZB,227.48836597705,6.5381492779516
Saint Vincent and the Grenadines,VCT,0.18523612141905,1.6687938866581
Venezuela,VEN,167.31843037995,4.8249158077151
British Virgin Islands,VGB,0.10829512682119,3.1851507888586
Viet Nam,VNM,584.25762297743,5.731218651378
Vanuatu,VUT,0.63205272100592,1.9875871729746
Samoa,WSM,0.52164779979124,2.5446234136158
Yemen,YEM,32.902757150808,1.0000534072158
South Africa,ZAF,569.80960950652,9.309245527725
Zambia,ZMB,38.519002327815,1.8357242685896
Zimbabwe,ZWE,30.784272445925,1.6041830352228
EU27,EU27,3164.6646501606,7.1378475703047
